"text",label
"Scientists Discover New Form of Dark Matter",science
"Climate Change Could Trigger 'Domino Effect' on Earth's Ecosystems",science
"Tiny Particles Reveal Hidden Forces in Quantum World",science
"AI Revolutionizing Drug Discovery: Faster and More Precise",science
"Ancient Underwater Ruins Found, Uncovering Secrets of a Lost Civilization",science
"New Breakthrough Could Lead to Sustainable Energy Sources",science
"Gene Editing: Promise for Disease Treatment or Ethical Dilemma?",science
"Hidden Depths of the Ocean: New Marine Life Discovered in Remote Areas",science
"The Great Migration of Birds Explained by Scientists",science
"Is Our Understanding of Gravity Incomplete? New Research Explores Possibilities",science
"The Rise of Populism: How Disillusionment Fuels Political Change",politics
"Climate Crisis Fuels Energy Crisis, Driving Political Polarization",politics
"Red Wave or Red Flags? Analyzing the Midterm Election's Shifting Landscape",politics
"Lobbying Laws Under Fire: A New Battleground in US Politics",politics
"The Future of Democracy: Exploring Decentralized Governance Models",politics
"Generational Divide: How Millennials are Reshaping the Political Landscape",politics
"Cyberwarfare and Geopolitics:  Who Controls the Information Grid, Who Wins?",politics
"Truth Decay & Misinformation: The Growing Threat to Political Discourse",politics
"The Ethics of AI in Politics: Will Bots Be Our Next Campaign Manager?",politics
"The Global South’s Voices: How Emerging Economies are reshaping International Politics",politics
"The Rise of Esports and its Impact on Traditional Sports",sports
"Decoding the Mystery of the NBA's 'Superteam' Era",sports
"How AI is Revolutionizing Coaching Strategies in Soccer",sports
"Climate Change Threatens Sporting Events:  What Can We Do?",sports
"Olympic Gymnastics: A New Generation Rises Amidst Controversy",sports
"Is Baseball Losing its Grip on Popularity? Exploring Youth Participation Trends",sports
"The Mental Health Crisis in High-Performance Sport: Breaking the Silence",sports
"Rethink the Marathon: Why Runners Are Choosing Shorter Distances",sports
"The Gender Gap in Sports: Addressing Pay Disparities and Visibility Issues",sports
"From Field to Metaverse: The Future of Sports Entertainment",sports
"The Great Resignation: Why Workers Are Leaving in Droves",economy
"Crypto Crash Fears Gripped Markets This Week: Experts Weigh In on Potential Impact",economy
"Inflation Soaring, but How Does That Affect Your Wallet? A Simple Breakdown",economy
"Gig Economy Boom Takes a Hit as Unemployment Spikes Amidst Rising Interest Rates",economy
"The Metaverse Is Heating Up!  Can it Revolutionize Real Estate?",economy
"Central Bank Intervention: Are We Heading Towards Hyperinflation?",economy
"Green Energy Investments Surge, Leaving Traditional Fuel Industry Struggling",economy
"Remote Work Revolution: Impact on Local Businesses and the Future of Urbanism",economy
